Paper and paper products            ,387,1,3,1,0,4,0,334,304,14,124,495,337,703,101,211,107,320,89,52,23,99,3424,1818,15,7,280,127,12,23,26,101,499,113,150,11,13,5,137,83,106,111,61,3,41,4,86,45,3,5,16,70,5,19,17,44,1,381,91,808,342,3,90,0,8,56,39,56,149,975,28,35,169,2,386,444,140,100,3,66,33,62,143,17,164,19,11,22,55,4,4,93,45,1019,376,744,246,4,22,18,46,12,4,51
Printing and recording services            ,10,5,0,1,0,1,0,5,1,2,1,1,3,7,1,4,1,3,2,1,0,1,8,804,7,3,3,5,1,17,1,22,7,0,7,0,4,0,8,0,7,14,12,2,13,1,3,5,0,1,5,18,4,0,0,27,0,21,97,253,134,1,15,2,1,88,7,5,9,1266,15,120,37,1,705,852,110,110,1,145,6,14,20,1,18,11,2,1,8,118,5,47,9,961,969,831,124,21,73,3,189,11,1,9
Coke and refined petroleum products           ,1369,110,263,166,376,140,47,158,57,6,135,39,203,168,110,101,49,3,22,62,8,157,130,41,4437,15,53,145,232,690,92,63,253,231,91,852,60,4,183,91,220,354,126,22,144,16,124,55,14,12,39,742,151,97,106,70,8,1198,753,2209,1989,313,4226,412,2335,242,531,445,1026,30,138,632,344,66,672,159,194,55,5,89,122,94,406,162,111,106,11,190,179,108,23,70,162,1610,566,296,484,35,19,69,98,106,20,99
"Paints, varnishes and similar coatings, printing ink and mastics       ",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62,185,374,0,241,0,9,0,3,0,0,19,16,36,1,2,0,314,15,59,114,401,44,36,24,50,16,39,3,31,0,0,0,10,14,0,869,6,67,65,11,12,0,0,4,2,12,33,274,18,9,14,1,11,6,5,24,0,3,6,1,9,4,47,1,0,2,8,1,1,0,5,111,146,0,95,4,4,15,25,13,0,18
"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",35,4,0,0,0,0,0,14,6,0,18,0,19,17,0,5,0,0,0,0,0,0,0,0,0,0,1421,2,3,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,68,6,77,76,32,126,7,25,2,13,4,17,47,116,0,27,6,10,2,19,4,14,2,2,2,2,3,7,11,25,9,5,6,28,2,3,331,17,153,308,30,347,3,8,13,41,10,0,136
Other chemical products             ,24,14,0,11,0,13,0,44,14,2,13,9,3,136,100,0,0,6,2,0,13,38,116,198,116,10,119,767,2,9,3,4,54,46,0,7,5,93,14,101,0,2,34,0,0,3,19,19,0,0,2,0,0,0,32,13,4,238,78,122,240,2,28,0,2,37,6,3,9,14,85,15,2,0,10,6,2,0,0,0,0,0,0,19,13,30,9,0,28,4,4,192,20,24,113,483,124,22,6,63,38,15,0,92
"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",297,3,3,1,37,14,6,1,3,1,0,5,6,4,0,12,3,0,6,0,8,1,44,1,6,139,76,129,251,3106,104,29,45,22,33,18,15,0,52,29,4,3,8,0,7,0,0,3,0,1,4,18,1,31,3,3,0,21,1,10,7,1,0,1,3,3,1,1,1,1,21,1,1,0,2,3,0,0,0,0,0,1,1,10,4,1,0,1,4,0,1,19,4,22,21,268,20,5,4,4,11,4,1,5
Petrochemicals - 20.14/16/17/60             ,18,4,0,7,0,17,0,0,1,0,0,24,17,23,0,23,28,0,481,0,34,59,368,9,59,540,213,731,798,7625,155,125,4253,219,590,156,61,2,108,72,806,57,1673,18,100,3,147,79,18,8,6,23,0,28,26,20,2,156,6,40,34,1,8,0,1,15,2,62,139,10,4,5,0,0,1,0,0,0,0,0,0,0,0,50,6,7,0,0,18,2,3,18,13,36,88,0,0,0,0,5,0,1,1,5
"Dyestuffs, agro-chemicals - 20.12/20            ",515,4,0,0,0,0,0,1,3,0,0,1,0,0,0,0,5,0,50,0,3,0,16,1,10,181,10,12,52,44,221,3,34,19,4,19,16,1,11,4,6,2,8,0,17,0,0,2,0,1,0,1,3,5,9,5,0,31,2,33,38,1,4,0,0,9,0,1,2,1,11,4,1,0,1,11,0,0,0,0,0,0,1,5,2,1,1,0,6,1,1,10,4,42,31,38,11,1,0,4,3,2,0,12
Basic pharmaceutical products and pharmaceutical preparations          ,240,0,0,0,0,0,0,0,1,0,0,35,0,0,547,0,0,0,0,0,0,0,0,0,6,0,75,0,0,0,0,3054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,22,0,4,24,64,110,1,2,0,0,0,6,15,39,0,5,1,1,0,0,0,0,0,0,0,0,0,0,15,2,1,41,1,2,0,0,0,1,245,124,16854,102,1,0,4,0,5,0,20
Rubber and plastic products            ,231,1,30,4,3,17,0,466,305,6,351,49,280,317,45,15,384,0,52,1,12,92,144,111,15,76,626,202,8,9,0,91,2115,74,31,26,19,0,265,147,209,515,2601,158,79,20,259,154,42,8,147,17,2,4,21,18,2,5118,962,939,425,46,736,35,9,140,69,14,44,10,30,1010,108,12,189,51,40,45,1,32,0,18,17,14,17,11,8,21,39,43,4,298,32,187,178,406,117,4,3,21,14,18,16,55
